Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94709-185593,WR,Andrei,Andrei Iosivas,Iosivas,1.399999976158142,1,4300,SEA@CIN,CIN,SEA,,,,,,WR/FLEX
94709-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0.7,5,4300,IND@JAC,IND,JAC,,,,,,WR/FLEX
94709-26251,WR,Robbie,Robbie Chosen,Chosen,6.650000095367432,2,4300,CAR@MIA,MIA,CAR,,,,,,WR/FLEX
94709-69295,WR,Byron,Byron Pringle,Pringle,1.4666666984558105,3,4300,WAS@ATL,WAS,ATL,,,,,,WR/FLEX
94709-86780,RB,Salvon,Salvon Ahmed,Ahmed,3.3499999046325684,2,4300,CAR@MIA,MIA,CAR,,,,,,RB/FLEX
94709-72515,TE,Ian,Ian Thomas,Thomas,1.5333333015441895,3,4300,CAR@MIA,CAR,MIA,,,,,,TE/FLEX
94709-93026,TE,Teagan,Teagan Quitoriano,Quitoriano,1.433333396911621,3,4300,NO@HOU,HOU,NO,,,,,,TE/FLEX
94709-94087,RB,DeeJay,DeeJay Dallas,Dallas,0.8999999761581421,4,4300,SEA@CIN,SEA,CIN,,,,,,RB/FLEX
94709-45997,WR,Keith,Keith Kirkwood,Kirkwood,0.15000000596046448,4,4300,NO@HOU,NO,HOU,,,,,,WR/FLEX
94709-70661,WR,Velus,Velus Jones Jr.,Jones Jr.,0.3499999940395355,2,4200,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
94709-70663,WR,Frank,Frank Darby,Darby,2,1,4200,WAS@ATL,ATL,WAS,,,,,,WR/FLEX
94709-89157,RB,Caleb,Caleb Huntley,Huntley,3.6583334604899087,12,4200,WAS@ATL,ATL,WAS,Q,Achilles,,,,RB/FLEX
94709-79980,TE,Eric,Eric Saubert,Saubert,2.176923018235427,13,4200,CAR@MIA,MIA,CAR,,,,,,TE/FLEX
